id,cos_10,cos_20,sim_10,sim_20,com_1_1_10,com_1_1_20,com_1_3_10,com_1_3_20,com_1_5_10,com_1_5_20,com_1_7_10,com_1_7_20,com_1_9_10,com_1_9_20,com_3_1_10,com_3_1_20,com_3_3_10,com_3_3_20,com_3_5_10,com_3_5_20,com_3_7_10,com_3_7_20,com_3_9_10,com_3_9_20,com_5_1_10,com_5_1_20,com_5_3_10,com_5_3_20,com_5_5_10,com_5_5_20,com_5_7_10,com_5_7_20,com_5_9_10,com_5_9_20,com_7_1_10,com_7_1_20,com_7_3_10,com_7_3_20,com_7_5_10,com_7_5_20,com_7_7_10,com_7_7_20,com_7_9_10,com_7_9_20,com_9_1_10,com_9_1_20,com_9_3_10,com_9_3_20,com_9_5_10,com_9_5_20,com_9_7_10,com_9_7_20,com_9_9_10,com_9_9_20
1,0,0,0,6,0,6,0,7,0,7,0,7,0,7,0,1,0,6,0,7,0,7,0,7,0,1,0,3,0,6,0,7,0,7,0,11,0,2,0,4,0,6,0,6,0,0,0,1,0,3,4,5,0,6
2,0,9,0,6,0,9,0,6,0,7,0,6,0,6,0,10,0,9,0,7,6,6,0,6,6,10,0,9,0,9,0,8,0,7,6,10,7,9,0,9,0,9,0,8,6,10,0,10,0,9,0,9,0,9
3,6,10,0,6,5,11,0,8,0,8,0,7,0,7,7,11,5,11,5,10,5,8,0,8,6,12,0,12,5,11,5,10,5,9,6,13,7,12,0,12,5,11,5,10,6,12,7,11,0,12,5,11,5,11
4,0,3,0,6,6,6,0,7,0,7,0,7,0,7,0,7,6,6,0,7,0,7,0,7,0,5,0,8,6,6,0,7,0,7,0,5,0,7,0,8,6,6,0,7,0,4,0,7,3,7,5,8,6,6
5,0,10,0,6,0,10,0,8,0,7,5,7,5,7,0,13,0,10,0,9,0,9,0,8,0,10,7,12,0,10,0,10,6,9,6,10,7,12,7,12,0,10,0,10,6,10,0,13,7,12,7,12,0,10
6,0,10,0,6,6,10,0,8,0,8,0,7,0,7,7,10,6,10,6,8,0,8,0,8,7,10,0,11,6,10,6,9,0,8,7,8,7,10,6,11,6,10,6,9,7,8,7,10,0,11,6,11,6,10
7,8,11,0,6,0,9,0,7,5,7,0,7,0,7,8,14,0,9,0,7,0,7,0,7,0,14,0,12,0,9,0,8,0,7,9,12,8,13,0,11,0,9,0,9,8,11,8,14,0,13,0,11,0,9
8,0,4,0,6,0,9,0,8,0,7,0,7,0,7,4,7,0,9,0,9,0,9,0,8,0,8,0,9,0,9,0,9,0,9,0,6,0,8,0,9,0,9,0,9,0,5,4,7,0,8,0,9,0,9
9,7,14,0,6,0,9,0,7,0,7,0,7,0,7,7,12,0,9,0,9,6,7,0,7,7,11,7,10,0,9,0,9,0,8,7,11,7,10,7,10,0,9,0,9,7,11,7,12,7,10,7,10,0,9
10,10,15,0,6,9,12,0,9,0,9,0,8,5,7,10,14,9,12,7,10,7,10,0,9,10,15,10,13,9,12,8,11,7,10,10,15,10,14,10,13,9,12,0,12,10,15,10,14,10,13,10,12,9,12
11,0,14,0,6,0,12,0,8,0,8,5,7,5,7,9,12,0,12,7,10,0,8,0,8,0,14,8,12,0,12,0,10,7,9,0,14,9,12,8,12,0,12,0,11,0,14,9,12,0,12,8,12,0,12
12,0,8,0,6,0,8,0,7,4,7,0,7,0,7,6,8,0,8,0,7,0,7,0,7,6,7,6,8,0,8,0,7,0,7,0,8,0,8,5,8,0,8,0,7,0,9,6,8,0,8,0,8,0,8
13,0,9,0,6,6,11,0,8,0,7,0,7,0,7,7,11,6,11,0,10,0,8,0,8,7,12,0,12,6,11,0,10,0,9,7,11,7,11,0,12,6,11,0,10,0,11,7,11,7,12,6,12,6,11
14,8,14,0,6,0,11,0,7,0,7,0,7,5,7,0,12,0,11,0,8,0,7,0,7,0,12,7,11,0,11,0,9,0,8,8,13,7,11,7,10,0,11,0,9,8,13,0,12,7,11,7,10,0,11
15,8,9,0,6,0,9,0,7,5,7,0,7,0,7,8,14,0,9,0,7,0,7,0,7,9,14,7,12,0,9,0,8,0,7,9,14,8,13,0,11,0,9,0,9,9,12,8,14,0,12,0,11,0,9
16,0,13,0,6,0,9,0,8,0,7,0,7,0,7,0,14,0,9,0,9,0,9,0,8,9,14,0,13,0,9,7,9,0,9,9,14,0,14,0,12,0,9,0,9,9,14,0,14,0,13,0,12,0,9
17,0,7,0,6,6,9,0,7,0,7,0,7,0,7,5,9,6,9,0,7,0,7,0,7,5,9,6,11,6,9,0,7,0,7,5,9,0,10,6,10,6,9,0,8,0,9,5,9,6,11,6,10,6,9
18,0,11,0,6,0,11,0,7,0,7,0,7,5,7,8,11,0,11,0,9,0,8,0,7,8,11,0,11,0,11,0,10,0,9,8,12,0,11,0,11,0,11,0,10,0,12,8,11,0,11,0,11,0,11
19,0,9,0,6,8,12,6,9,0,8,5,7,0,7,0,12,8,12,0,10,0,9,6,9,0,10,9,12,8,12,8,11,0,10,0,9,0,12,8,12,8,12,8,11,6,9,0,12,9,12,8,12,8,12
20,0,7,0,6,0,7,0,7,0,7,0,7,0,7,4,10,0,7,0,7,0,7,0,7,3,9,5,11,0,7,0,7,0,7,0,9,0,10,0,8,0,7,6,7,0,8,4,10,5,11,0,8,0,7
21,4,6,0,6,0,8,5,7,0,7,0,7,0,6,5,9,0,8,0,7,5,7,5,7,4,9,6,8,0,8,0,7,5,7,0,7,0,9,0,8,0,8,0,8,0,6,5,9,0,9,0,8,0,8
22,10,15,0,6,8,13,0,9,0,9,5,8,5,7,9,15,8,13,8,10,7,10,0,9,10,16,8,13,8,13,8,10,8,10,10,16,0,15,8,13,8,13,8,10,10,16,9,15,8,13,8,13,8,13
23,0,10,0,6,0,11,0,8,0,8,0,7,0,7,7,11,0,11,0,10,5,9,0,8,0,10,7,11,0,11,0,10,0,10,0,10,0,11,7,11,0,11,0,10,0,10,7,11,7,11,7,11,0,11
24,0,9,0,6,0,12,0,9,5,8,5,8,0,7,0,13,0,12,7,10,0,9,0,9,0,10,0,12,0,12,0,10,7,10,0,11,8,12,8,12,0,12,0,10,0,11,0,13,0,12,8,12,0,12
25,0,1,0,6,0,3,0,6,0,6,0,6,0,6,0,2,0,3,0,4,0,5,0,6,0,1,0,3,0,3,0,4,0,4,0,1,0,2,0,3,0,3,0,4,0,10,0,12,0,3,3,3,0,3
26,0,1,0,6,0,5,0,6,0,6,0,6,0,6,0,3,0,5,0,5,4,5,0,6,0,3,3,5,0,5,0,5,0,5,0,3,0,4,0,5,0,5,3,5,0,3,0,13,0,4,0,4,0,5
27,0,3,0,6,0,7,0,7,0,7,0,7,0,7,0,3,0,7,0,7,0,7,0,7,0,3,0,4,0,7,0,7,0,7,0,3,0,4,0,5,0,7,0,7,0,12,0,13,0,4,3,5,0,7
28,6,9,0,6,5,8,0,7,5,7,5,7,0,7,5,9,5,8,5,7,0,7,0,7,0,9,0,9,5,8,5,7,5,7,0,9,0,9,0,9,5,8,5,7,0,9,5,9,0,9,0,9,5,8
29,0,6,0,6,0,9,5,7,0,7,0,7,0,7,0,8,0,9,0,8,0,7,5,7,0,7,6,10,0,9,0,8,0,7,0,8,6,9,0,10,0,9,0,9,0,7,0,8,6,9,0,10,0,9
30,0,11,0,6,7,12,6,9,0,8,0,7,0,7,7,12,7,12,0,10,0,10,6,9,7,12,7,12,7,12,0,10,0,10,7,12,7,12,0,11,7,12,8,11,0,11,7,12,7,12,0,11,7,12
31,6,10,0,6,0,10,0,8,0,7,5,7,0,7,8,13,0,10,0,10,0,9,0,8,0,14,8,12,0,10,0,10,0,9,6,13,8,13,8,12,0,10,0,10,6,13,8,13,8,12,8,12,0,10
32,2,3,0,6,5,5,0,6,0,6,5,6,0,6,0,5,5,5,0,5,0,6,0,6,0,5,0,4,5,5,0,5,0,5,0,5,0,5,0,5,5,5,0,5,2,4,0,5,0,4,0,5,5,5
33,0,14,0,6,8,13,0,9,0,7,5,7,0,7,0,14,8,13,0,11,0,10,0,9,10,14,8,14,8,13,8,12,0,10,10,14,0,14,8,14,8,13,8,13,10,14,0,14,0,14,8,14,8,13
34,0,6,0,6,0,10,5,7,0,7,0,7,0,7,0,10,0,10,5,9,5,9,5,7,4,9,0,10,0,10,5,9,5,9,0,9,5,11,0,9,0,10,5,9,4,8,0,10,5,10,0,10,0,10
35,0,3,0,6,5,7,0,7,0,7,0,7,0,7,0,3,5,7,0,7,0,8,0,7,0,3,0,5,5,7,0,7,0,7,0,3,0,3,4,7,5,7,0,6,0,13,0,13,0,4,5,7,5,7
36,0,11,0,6,7,12,0,8,0,8,0,7,0,7,7,13,7,12,0,9,6,9,0,8,7,12,7,14,7,12,0,10,0,9,7,12,7,13,7,13,7,12,7,10,0,12,7,13,7,14,7,13,7,12
37,8,12,0,6,0,10,0,8,0,7,0,7,5,7,7,14,0,10,0,9,0,8,0,8,8,14,8,13,0,10,0,9,7,9,0,15,0,13,8,14,0,10,0,9,8,15,7,14,0,13,8,12,0,10
38,0,5,0,6,0,8,0,7,0,7,0,7,0,7,0,9,0,8,0,7,0,7,0,7,0,5,0,7,0,8,0,7,0,7,0,5,4,9,4,7,0,8,0,8,4,5,0,9,0,7,4,7,0,8
39,5,9,0,6,6,9,5,8,5,7,0,7,0,7,0,9,6,9,6,9,0,9,5,8,5,10,5,10,6,9,6,9,6,9,0,10,0,9,0,11,6,9,6,10,0,10,0,9,5,10,0,11,6,9
40,9,12,0,6,0,12,6,9,0,9,5,8,0,7,8,14,0,12,7,11,7,11,6,9,8,14,8,13,0,12,8,12,7,11,8,14,8,14,8,13,0,12,8,12,8,14,8,14,8,13,8,12,0,12
41,8,10,0,6,6,9,0,7,0,7,0,7,0,7,7,11,6,9,0,8,0,7,0,7,8,11,7,12,6,9,6,8,0,8,8,11,7,12,7,11,6,9,6,9,8,11,7,11,7,12,7,11,6,9
42,9,13,0,6,0,10,0,8,0,7,5,6,5,6,0,12,0,10,0,8,0,8,0,8,9,13,8,11,0,10,0,8,0,8,9,13,8,12,8,11,0,10,0,9,9,13,0,12,8,11,0,11,0,10
43,6,10,0,6,0,10,6,8,0,7,5,7,0,7,0,11,0,10,6,8,0,8,6,8,0,11,0,10,0,10,6,9,0,8,5,11,6,11,0,11,0,10,6,9,5,10,0,11,6,10,0,11,0,10
44,0,4,0,6,0,8,0,8,0,7,0,7,0,7,0,4,0,8,0,8,0,8,0,8,0,6,0,6,0,8,0,8,0,8,0,6,3,7,0,7,0,8,0,8,3,6,0,4,0,6,0,8,0,8
45,0,7,0,6,0,10,0,7,0,7,0,7,0,7,0,9,0,10,0,7,5,7,0,7,0,10,0,10,0,10,0,8,0,7,0,8,6,9,0,10,0,10,0,9,5,8,0,9,0,9,0,10,0,10
46,7,9,0,6,0,11,0,8,0,7,5,7,0,7,8,12,0,11,0,8,7,8,0,8,0,10,8,12,0,11,0,9,0,8,0,10,8,12,8,11,0,11,0,10,7,10,8,12,8,12,8,11,0,11
47,0,1,0,6,0,6,0,6,0,6,0,6,0,6,0,1,0,6,0,6,0,6,0,6,0,1,0,4,0,6,0,6,0,6,0,1,0,2,0,5,0,6,3,6,0,1,0,11,0,2,2,5,0,6
48,0,11,0,6,7,9,0,7,0,7,5,7,5,7,7,11,7,9,0,8,0,7,0,7,7,12,0,11,7,9,0,8,0,8,0,11,7,11,0,11,7,9,0,8,8,11,7,11,7,11,0,11,7,9
49,0,5,0,6,4,8,0,7,0,7,0,7,0,7,0,8,4,8,5,8,0,8,0,7,2,7,0,9,4,8,5,8,5,8,0,7,0,8,0,8,4,8,5,8,0,7,0,8,0,9,4,8,4,8
50,0,9,0,6,0,10,0,7,0,7,0,6,0,6,8,11,0,10,0,8,0,8,0,7,0,11,0,10,0,10,0,9,0,8,0,10,0,10,8,10,0,10,7,10,0,10,8,11,8,10,8,10,0,10
51,0,11,0,6,7,8,0,7,0,7,0,7,0,7,0,10,7,8,0,8,0,8,0,7,0,10,7,10,7,8,0,8,0,8,6,11,0,10,7,10,7,8,0,8,0,11,0,10,7,10,7,9,7,8
52,9,14,0,6,0,11,6,9,0,8,5,7,5,7,8,13,0,11,0,10,0,9,6,9,8,15,8,12,0,11,7,10,0,10,0,15,8,13,8,11,0,11,7,11,0,15,8,13,8,12,8,11,0,11
53,4,6,0,6,0,9,0,8,0,7,0,7,5,7,0,9,0,9,0,8,0,8,0,8,5,8,7,11,0,9,0,9,0,8,0,8,6,11,7,11,0,9,7,9,0,8,0,9,7,11,8,11,0,9
54,0,9,0,6,7,10,6,8,0,8,0,7,0,7,0,8,7,10,0,9,6,9,6,8,4,7,0,9,7,10,0,11,0,9,0,7,5,8,0,10,7,10,0,11,4,7,0,8,0,9,7,10,7,10
55,0,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0
56,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,1,1,0,11,0,1,0,1,0,1
57,3,6,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,2,4,0,1,0,1,0,1,0,1,3,6,0,2,0,1,0,1,0,1,0,6,0,2,0,1,0,1,0,1
58,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5,1,4,0,1,0,0,0,0,0,5,0,4,0,4,0,1,0,0
59,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0
60,0,5,0,1,0,0,0,1,0,1,0,1,0,1,5,5,0,0,0,0,0,0,0,1,0,6,1,2,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,5,5,5,1,3,0,1,0,0
61,0,0,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,11,0,1,0,1,0,1
62,3,7,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,3,0,1,0,1,0,1,0,1,0,4,0,2,0,1,0,1,0,1,0,4,0,2,0,1,0,1,0,1
63,1,3,0,1,0,1,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,1,0,3,0,3,0,1,0,1,0,1,1,2,0,13,0,1,0,1,0,1
64,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0
65,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,12,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0,1
66,2,3,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0
67,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
68,0,1,0,1,0,2,0,0,0,0,0,1,0,1,1,1,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,1,11,0,1,0,1,0,2
69,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,3,1,2,0,1,0,1,0,0,0,3,0,2,0,1,0,1,0,1
70,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
71,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0
72,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,11,0,1,0,1,0,0
73,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,12,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,2,0,12,0,2,0,0,0,0
74,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,11,0,1,0,0,0,0
75,0,6,0,1,0,1,0,1,0,1,0,1,0,1,3,3,0,1,0,1,1,1,0,1,0,3,0,4,0,1,0,2,0,1,3,5,3,3,0,3,0,1,0,2,3,5,3,3,0,4,0,3,0,1
76,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,11,0,1,0,0,0,0
77,0,5,0,1,0,2,0,2,0,2,0,2,0,1,0,4,0,2,0,2,0,2,0,2,3,4,0,2,0,2,0,2,0,2,0,5,0,2,0,2,0,2,0,2,0,5,0,4,2,2,0,2,0,2
78,0,5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,11,0,1,0,0,0,0
79,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
81,2,4,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,3,0,11,0,1,0,0,0,0
82,0,8,0,1,0,3,0,0,0,1,0,1,0,1,0,7,0,3,0,0,0,0,0,0,0,7,4,5,0,3,0,0,0,0,0,7,0,7,0,5,0,3,0,0,0,8,0,7,5,5,0,4,0,3
83,0,7,0,1,0,2,0,1,0,1,0,1,0,1,0,3,0,2,0,1,0,1,0,1,0,4,0,3,0,2,0,1,0,1,0,4,2,3,1,2,0,2,0,1,0,5,0,3,0,3,1,2,0,2
84,0,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0
85,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
86,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,11,0,1,0,1,0,1
87,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,13,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0
88,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,1,0,0
90,0,5,0,1,0,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,0
91,0,8,0,1,0,2,1,1,0,1,0,1,0,1,3,14,0,2,0,1,0,1,1,1,0,6,0,3,0,2,0,1,0,1,3,6,0,3,2,2,0,2,0,1,0,6,3,4,0,3,0,2,0,2
92,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,11,0,1,0,1,0,0
93,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0
94,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0
95,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
